,Time,Author ID,Tweet
73,2019-07-02 02:22:00+00:00,3265583034,"ST edited their article to remove any mention of #LeeHsienYang and family attending this year’s #PinkDot Rally &amp; more in #Singapore morning #news for July 2 via @aecnewstoday
https://t.co/uoPdFAS9rK"
74,2019-07-02 02:15:32+00:00,137655013,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
75,2019-07-02 01:02:24+00:00,581866438,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
76,2019-07-01 17:15:36+00:00,874064071338987520,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
77,2019-07-01 13:48:13+00:00,978578657873600512,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
78,2019-07-01 11:33:25+00:00,743632682429616129,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
79,2019-07-01 11:05:42+00:00,743186109258141696,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
80,2019-07-01 10:59:19+00:00,1252736072,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
81,2019-07-01 10:41:34+00:00,45046870,RT @KGravil: Back in 2015 I went to my very first #PinkDot in Singapore and it was one of the most amazing Pride experiences of my life. Sa…
82,2019-07-01 10:14:24+00:00,160968221,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
83,2019-07-01 08:45:52+00:00,822321992,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
84,2019-07-01 07:44:36+00:00,1144952184792068097,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
85,2019-07-01 06:18:02+00:00,4159114581,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
86,2019-07-01 06:14:11+00:00,2705664588,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
87,2019-07-01 05:54:24+00:00,495508593,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
88,2019-07-01 05:53:17+00:00,59047876,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
89,2019-07-01 05:48:00+00:00,16029493,RT @MsMelChen: It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband…
90,2019-07-01 05:34:12+00:00,134976379,"It surely doesn’t hurt the cause of decriminalizing homosexuality in Singapore to have Lee Kuan Yew’s grandson &amp; his husband (who recently wed in South Africa) and their parents, attend the local pride event known as #PinkDot. 

Happy Pride! #Repeal337A 🌈 https://t.co/uSIJAXsDHw"
91,2019-07-01 04:57:00+00:00,19419053,Singapore's annual #LGBT+ #pride event #PinkDot called for the repeal of #Section377A law that criminalizes sex between men https://t.co/dOOLo37V0E #LGBTQ https://t.co/cCrAiBGrfM
92,2019-07-01 01:41:06+00:00,149585330,"SAP — Thủ tướng Singapore Lý Hiển Long: Luật cấm đồng tính luyến ái tạm thời chưa bãi bỏ: Thủ tướng Singapore Lý Hiển Long: Luật cấm đồng tính luyến ái tạm thời chưa bãi bỏ - Bên cạnh đó, PinkDot – một sự kiện thường niên được… https://t.co/5Ug1xs4Emu"
93,2019-06-30 18:05:03+00:00,1675450748,@ByulieRapstar Skdkgkldgkkslal if I was singapore I could have gone to pinkdot with you but tbh you and childish would have all the attention
94,2019-06-30 08:48:15+00:00,45295624,"“The government often says that the law isn’t really enforced so it’s OK, but there are ripple effects on the rest of society, especially in matters on sexual health and workplace discrimination,” https://t.co/4GuQd8WVEP via @scmpnews #PinkDot #PinkDotSG #PinkDot11 #PinkDot2019"
95,2019-06-30 06:34:12+00:00,35705901,"RT @Ericssenw: Pink Dot 11: “Repeal 377A” 
A sea of pink lighting up Singapore’s beautiful night sky.
Courtesy of @PinkDotSG 
#PinkDot #Pin…"
96,2019-06-30 05:12:09+00:00,97233269,"#PinkDot calls for '#acceptance and #equality' for #LGBTQ community https://t.co/pYeNiHRe9l via @ChannelNewsAsia

""Because we believe that Singapore can be a more #equal and more #diverse place when LGBTQ people feel that this is their #home."""
97,2019-06-30 03:37:53+00:00,1487562920,"Celebrating #PinkDot11 🌈 with $20 off every $100 purchase this weekend at #02-06, Ming Arcade (opp Hard Rock Cafe), 21 Cuscaden Rd, #Singapore 249720. Online use PINK20 at https://t.co/9TE0XLIICd

#malehq #PinkDot #PinkDot2019 #PrideMonth #LoveisLove #sgboy #sgboys #sgguys https://t.co/rp3gMoThQw"
98,2019-06-30 02:25:19+00:00,597394174,the singapore radio bleeping out the word gay in taylor swifts song is the reason why we need pinkdot
99,2019-06-30 02:16:53+00:00,37148642,"RT @Ericssenw: Pink Dot 11: “Repeal 377A” 
A sea of pink lighting up Singapore’s beautiful night sky.
Courtesy of @PinkDotSG 
#PinkDot #Pin…"
100,2019-06-30 02:10:07+00:00,274898366,"RT @Ericssenw: Pink Dot 11: “Repeal 377A” 
A sea of pink lighting up Singapore’s beautiful night sky.
Courtesy of @PinkDotSG 
#PinkDot #Pin…"
101,2019-06-30 01:53:11+00:00,1002401830725287936,"RT @Ericssenw: Pink Dot 11: “Repeal 377A” 
A sea of pink lighting up Singapore’s beautiful night sky.
Courtesy of @PinkDotSG 
#PinkDot #Pin…"
102,2019-06-29 23:13:42+00:00,923056307275304960,"#Repeal377
Singapore #PinkDot 🏳️‍🌈
#AgainstDiscrimination https://t.co/QZ09WleXEH"
103,2019-06-29 18:03:24+00:00,970140879393579009,"#PinkDot #Campaign in #Singapore calls for '#acceptance and #equality' for #LGBTQ #community

#Women #Transgender #LGBTQIA #SoutheastAsia #PrideMonth https://t.co/Fmyw261Ox0"
104,2019-06-29 17:49:13+00:00,56077577,"My #video of the magical moment #pinkdot11 became reality. #Pride #lovewins #pinkdotsg #pinkdot #lovewins #singapore @ PARKROYAL on Pickering Hotel, Singapore https://t.co/Dp3dA2uLJi"
